series	series_original	compartment
The Netherlands_Wadden Sea Schiermonnikoog PB	The Netherlands_Wadden Sea Schiermonnikoog PB	sediment
The Netherlands_Wadden Sea Terschelling PB	The Netherlands_Wadden Sea Terschelling PB	sediment
The Netherlands_Wadden Sea Texel PB	The Netherlands_Wadden Sea Texel PB	sediment
The Netherlands_Western Scheldt East PB	The Netherlands_Western Scheldt East PB	sediment
The Netherlands_Western Scheldt Mid PB	The Netherlands_Western Scheldt Mid PB	sediment
The Netherlands_Western Scheldt West PB	The Netherlands_Western Scheldt West PB	sediment
Germany_Bremen Insel PB	Germany_Bremen Insel PB	sediment
Germany_Farge Fahrwasser rechts PB	Germany_Farge Fahrwasser rechts PB	sediment
Germany_WB1 PB	Germany_WB1 PB	sediment
Germany_HELGO PB	Germany_HELGO PB	sediment
Germany_ES1 PB	Germany_ES1 PB	sediment
Germany_KS11 PB	Germany_KS11 PB	sediment
France_Anse de Bréhec - centre PB	France_Anse de Bréhec - centre PB	sediment
France_Ile Longue 2 PB	France_Ile Longue 2 PB	sediment
France_la Pierre Profonde suroit PB	France_la Pierre Profonde suroit PB	sediment
France_Le Bouton PB	France_Le Bouton PB	sediment
France_Porte des Hébihens PB	France_Porte des Hébihens PB	sediment
France_Roc'h Parou PB	France_Roc'h Parou PB	sediment
France_Tourelle Men Gamm PB	France_Tourelle Men Gamm PB	sediment
France_Pointe Coatmer PB	France_Pointe Coatmer PB	sediment
United Kingdom_Severn_SeOpenSeaW_se05 PB	United Kingdom_Severn_SeOpenSeaW_se05 PB	sediment
France_Pointe du Bellec ouest PB	France_Pointe du Bellec ouest PB	sediment
France_Pointe Leyde PB	France_Pointe Leyde PB	sediment
France_Rade d'Erquy PB	France_Rade d'Erquy PB	sediment
France_Basse Herbaut PB	France_Basse Herbaut PB	sediment
France_Cancale Port PB	France_Cancale Port PB	sediment
France_Douarnenez PB	France_Douarnenez PB	sediment
France_Guyoméré Est PB	France_Guyoméré Est PB	sediment
France_Large Les Rosaires PB	France_Large Les Rosaires PB	sediment
France_Sud Ouest Ile Callot PB	France_Sud Ouest Ile Callot PB	sediment
France_Nord Pointe de la Jument PB	France_Nord Pointe de la Jument PB	sediment
France_Barre de flot 2 PB	France_Barre de flot 2 PB	sediment
United Kingdom_Severn_SeOpenSeaW_se04 PB	United Kingdom_Severn_SeOpenSeaW_se04 PB	sediment
United Kingdom_Severn_SeOpenSeaW_se03 PB	United Kingdom_Severn_SeOpenSeaW_se03 PB	sediment
France_Anse de l'Auberlac'h PB	France_Anse de l'Auberlac'h PB	sediment
France_Le Vivier s~mer - Nord parcs 2 PB	France_Le Vivier s/mer - Nord parcs 2 PB	sediment
France_Nord Pointe du Cosmeur PB	France_Nord Pointe du Cosmeur PB	sediment
United Kingdom_Severn_SeOpenSeaW_se02 PB	United Kingdom_Severn_SeOpenSeaW_se02 PB	sediment
France_Pointe de Plougastel PB	France_Pointe de Plougastel PB	sediment
France_Port du Fret est PB	France_Port du Fret est PB	sediment
France_Porz al Lester est PB	France_Porz al Lester est PB	sediment
France_Sillon des anglais - Kerberon PB	France_Sillon des anglais - Kerberon PB	sediment
France_Anse du Caro PB	France_Anse du Caro PB	sediment
France_Banc du Bindy PB	France_Banc du Bindy PB	sediment
France_Cale de Kelern PB	France_Cale de Kelern PB	sediment
France_La Coet PB	France_La Coet PB	sediment
France_Le Passage (c) PB	France_Le Passage (c) PB	sediment
France_Nord Pointe du Grouin PB	France_Nord Pointe du Grouin PB	sediment
France_Banc de Chatry PB	France_Banc de Chatry PB	sediment
United Kingdom_Severn_MilfordHav_se01 PB	United Kingdom_Severn_MilfordHav_se01 PB	sediment
United Kingdom_Severn_SeOpenSeaW_se01 PB	United Kingdom_Severn_SeOpenSeaW_se01 PB	sediment
United Kingdom_Minch Malin (Colonsay) PB	United Kingdom_Minch Malin (Colonsay) PB	sediment
United Kingdom_Hebrides_HebOpenSea_se01 PB	United Kingdom_Hebrides_HebOpenSea_se01 PB	sediment
United Kingdom_MinchMalin_FoyleFaughanE_se01 PB	United Kingdom_MinchMalin_FoyleFaughanE_se01 PB	sediment
United Kingdom_MinchMalin_TheMinchNorth_se02 PB	United Kingdom_MinchMalin_TheMinchNorth_se02 PB	sediment
United Kingdom_MinchMalin_TheMinchNorth_se01 PB	United Kingdom_MinchMalin_TheMinchNorth_se01 PB	sediment
United Kingdom_MinchMalin_TheMinchSouth_se01 PB	United Kingdom_MinchMalin_TheMinchSouth_se01 PB	sediment
United Kingdom_MinchMalin_SeaOfHebrides_se01 PB	United Kingdom_MinchMalin_SeaOfHebrides_se01 PB	sediment
United Kingdom_MinchMalin_BannEstuary_se01 PB	United Kingdom_MinchMalin_BannEstuary_se01 PB	sediment
United Kingdom_IrishSea_IrSIntermediateE_se07 PB	United Kingdom_IrishSea_IrSIntermediateE_se07 PB	sediment
United Kingdom_IrishSea_IrSIntermediateE_se06 PB	United Kingdom_IrishSea_IrSIntermediateE_se06 PB	sediment
United Kingdom_IrishSea_IrSIntermediateE_se05 PB	United Kingdom_IrishSea_IrSIntermediateE_se05 PB	sediment
United Kingdom_CardBay_CBInter_se03 PB	United Kingdom_CardBay_CBInter_se03 PB	sediment
United Kingdom_CardBay_CBInter_se02 PB	United Kingdom_CardBay_CBInter_se02 PB	sediment
United Kingdom_CardBay_CBInter_se04 PB	United Kingdom_CardBay_CBInter_se04 PB	sediment
United Kingdom_CardBay_TremadogB_se01 PB	United Kingdom_CardBay_TremadogB_se01 PB	sediment
United Kingdom_IrishSea_IrSIntermediateE_se04 PB	United Kingdom_IrishSea_IrSIntermediateE_se04 PB	sediment
United Kingdom_IrishSea_IrSOpenSea_se07 PB	United Kingdom_IrishSea_IrSOpenSea_se07 PB	sediment
United Kingdom_IrishSea_IrSOpenSea_se06 PB	United Kingdom_IrishSea_IrSOpenSea_se06 PB	sediment
United Kingdom_IrishSea_IrSOpenSea_se08 PB	United Kingdom_IrishSea_IrSOpenSea_se08 PB	sediment
United Kingdom_IrishSea_IrSOpenSea_se09 PB	United Kingdom_IrishSea_IrSOpenSea_se09 PB	sediment
United Kingdom_IrishSea_IrSOpenSea_se10 PB	United Kingdom_IrishSea_IrSOpenSea_se10 PB	sediment
United Kingdom_Clyde_FirthCInnerDunoon_se06 PB	United Kingdom_Clyde_FirthCInnerDunoon_se06 PB	sediment
United Kingdom_Clyde_FirthCMiddleOffshor_se06 PB	United Kingdom_Clyde_FirthCMiddleOffshor_se06 PB	sediment
United Kingdom_Clyde (Hunterston) PB	United Kingdom_Clyde (Hunterston) PB	sediment
United Kingdom_IrishSea_LarneLoughMid_se01 PB	United Kingdom_IrishSea_LarneLoughMid_se01 PB	sediment
United Kingdom_IrishSea_StrangfordLoughS_se01 PB	United Kingdom_IrishSea_StrangfordLoughS_se01 PB	sediment
United Kingdom_CardBay_CBInter_se01 PB	United Kingdom_CardBay_CBInter_se01 PB	sediment
United Kingdom_IrishSea_CarlingfordLough_se01 PB	United Kingdom_IrishSea_CarlingfordLough_se01 PB	sediment
United Kingdom_Firth of Clyde (inner) PB	United Kingdom_Firth of Clyde (inner) PB	sediment
United Kingdom_Firth of Clyde (middle) PB	United Kingdom_Firth of Clyde (middle) PB	sediment
United Kingdom_IrishSea_BelfastLoughInnr_se01 PB	United Kingdom_IrishSea_BelfastLoughInnr_se01 PB	sediment
United Kingdom_IrishSea_DeeNWales_se03 PB	United Kingdom_IrishSea_DeeNWales_se03 PB	sediment
United Kingdom_IrishSea_IrSOpenSea_se04 PB	United Kingdom_IrishSea_IrSOpenSea_se04 PB	sediment
United Kingdom_IrishSea_BelfastLoughOutr_se01 PB	United Kingdom_IrishSea_BelfastLoughOutr_se01 PB	sediment
United Kingdom_Firth of Clyde (outer) PB	United Kingdom_Firth of Clyde (outer) PB	sediment
United Kingdom_Solway Firth PB	United Kingdom_Solway Firth PB	sediment
United Kingdom_IrishSea_IrSIntermediateE_se01 PB	United Kingdom_IrishSea_IrSIntermediateE_se01 PB	sediment
Spain_S017 PB	Spain_S017 PB	sediment
Spain_S018 PB	Spain_S018 PB	sediment
Spain_S035 PB	Spain_S035 PB	sediment
Spain_S029 PB	Spain_S029 PB	sediment
Spain_S044 PB	Spain_S044 PB	sediment
Spain_S058 PB	Spain_S058 PB	sediment
Spain_S003 PB	Spain_S003 PB	sediment
Spain_S010 PB	Spain_S010 PB	sediment
Spain_S027 PB	Spain_S027 PB	sediment
Spain_S031 PB	Spain_S031 PB	sediment
Spain_S002 PB	Spain_S002 PB	sediment
Spain_S055 PB	Spain_S055 PB	sediment
Spain_S056 PB	Spain_S056 PB	sediment
Spain_S011 PB	Spain_S011 PB	sediment
Spain_S004 PB	Spain_S004 PB	sediment
Spain_S001 PB	Spain_S001 PB	sediment
Spain_S005 PB	Spain_S005 PB	sediment
Spain_S057 PB	Spain_S057 PB	sediment
Spain_S061 PB	Spain_S061 PB	sediment
Spain_S063 PB	Spain_S063 PB	sediment
Spain_S023 PB	Spain_S023 PB	sediment
Spain_S024 PB	Spain_S024 PB	sediment
Spain_S067 PB	Spain_S067 PB	sediment
Spain_S062 PB	Spain_S062 PB	sediment
Spain_S069 PB	Spain_S069 PB	sediment
Spain_S030 PB	Spain_S030 PB	sediment
Spain_S034 PB	Spain_S034 PB	sediment
Spain_S042 PB	Spain_S042 PB	sediment
Spain_S043 PB	Spain_S043 PB	sediment
Spain_S054 PB	Spain_S054 PB	sediment
Spain_S059 PB	Spain_S059 PB	sediment
Spain_S007 PB	Spain_S007 PB	sediment
France_Extrémité chenal du Havre NAPC1	France_Extrémité chenal du Havre NAPC1	sediment
France_Fort Central NAPC1	France_Fort Central NAPC1	sediment
France_Fort de l'Ouest NAPC1	France_Fort de l'Ouest NAPC1	sediment
France_Grand Placard sud NAPC1	France_Grand Placard sud NAPC1	sediment
France_Grandcamp sud NAPC1	France_Grandcamp sud NAPC1	sediment
France_Grande Rade Sud LH4 NAPC1	France_Grande Rade Sud LH4 NAPC1	sediment
France_Havre de la Vanlée NAPC1	France_Havre de la Vanlée NAPC1	sediment
France_Havre de Régneville NAPC1	France_Havre de Régneville NAPC1	sediment
France_Havre de Saint Germain NAPC1	France_Havre de Saint Germain NAPC1	sediment
France_Intersect. Cabourg - Antifer NAPC1	France_Intersect. Cabourg - Antifer NAPC1	sediment
France_Large Dives 1 NAPC1	France_Large Dives 1 NAPC1	sediment
France_Large Heuqueville NAPC1	France_Large Heuqueville NAPC1	sediment
France_Le Becquet NAPC1	France_Le Becquet NAPC1	sediment
France_Le Parfond NAPC1	France_Le Parfond NAPC1	sediment
France_Le Portel NAPC1	France_Le Portel NAPC1	sediment
France_Le Touquet-Paris-Plage NAPC1	France_Le Touquet-Paris-Plage NAPC1	sediment
France_Les Hemmes d'Oye NAPC1	France_Les Hemmes d'Oye NAPC1	sediment
France_Malo - ouest NAPC1	France_Malo - ouest NAPC1	sediment
France_Baie des Veys - Banc de la Rouelle NAPC1	France_Baie des Veys - Banc de la Rouelle NAPC1	sediment
France_Baie du Mont-St-Michel - Grouin du Sud NAPC1	France_Baie du Mont-St-Michel - Grouin du Sud NAPC1	sediment
France_Chausey nord - Les Carniquets NAPC1	France_Chausey nord - Les Carniquets NAPC1	sediment
France_Estuaire de l'Orne - Pointe du Siège NAPC1	France_Estuaire de l'Orne - Pointe du Siège NAPC1	sediment
France_Mont-St-Michel ouest NAPC1	France_Mont-St-Michel ouest NAPC1	sediment
France_Pointe du Hoc - Large de Gold Beach NAPC1	France_Pointe du Hoc - Large de Gold Beach NAPC1	sediment
France_Villerville 2 NAPC1	France_Villerville 2 NAPC1	sediment
France_Nord Chausey NAPC1	France_Nord Chausey NAPC1	sediment
France_Nord dépôt de dragage NAPC1	France_Nord dépôt de dragage NAPC1	sediment
France_Penly - Biville NAPC1	France_Penly - Biville NAPC1	sediment
United Kingdom_EastChan_ECInterW_se03 NAPC1	United Kingdom_EastChan_ECInterW_se03 NAPC1	sediment
United Kingdom_EastChan_ECInterW_se02 NAPC1	United Kingdom_EastChan_ECInterW_se02 NAPC1	sediment
United Kingdom_WestChan_Plymco_se01 NAPC1	United Kingdom_WestChan_Plymco_se01 NAPC1	sediment
United Kingdom_EastChan_ECInterE_se02 NAPC1	United Kingdom_EastChan_ECInterE_se02 NAPC1	sediment
United Kingdom_TyneTees_TTInter_se04 NAPC1	United Kingdom_TyneTees_TTInter_se04 NAPC1	sediment
United Kingdom_TyneTees_TTOpenSeaS_se01 NAPC1	United Kingdom_TyneTees_TTOpenSeaS_se01 NAPC1	sediment
United Kingdom_TyneTees_TTInter_se05 NAPC1	United Kingdom_TyneTees_TTInter_se05 NAPC1	sediment
United Kingdom_TyneTees_TTOpenSeaS_se02 NAPC1	United Kingdom_TyneTees_TTOpenSeaS_se02 NAPC1	sediment
United Kingdom_Cromarty Firth NAPC1	United Kingdom_Cromarty Firth NAPC1	sediment
United Kingdom_EScotland_CarnoustieFifeN_se06 NAPC1	United Kingdom_EScotland_CarnoustieFifeN_se06 NAPC1	sediment
United Kingdom_EShetland_EShOpenSea_se02 NAPC1	United Kingdom_EShetland_EShOpenSea_se02 NAPC1	sediment
United Kingdom_EShetland_EShOpenSea_se03 NAPC1	United Kingdom_EShetland_EShOpenSea_se03 NAPC1	sediment
United Kingdom_EShetland_EShOpenSea_se01 NAPC1	United Kingdom_EShetland_EShOpenSea_se01 NAPC1	sediment
United Kingdom_EShetland_EShOpenSea_se04 NAPC1	United Kingdom_EShetland_EShOpenSea_se04 NAPC1	sediment
United Kingdom_Forties_Forties-OpenSea_se01 NAPC1	United Kingdom_Forties_Forties-OpenSea_se01 NAPC1	sediment
United Kingdom_Forties_Forties-OpenSea_se02 NAPC1	United Kingdom_Forties_Forties-OpenSea_se02 NAPC1	sediment
United Kingdom_Forties_Forties-OpenSea_se04 NAPC1	United Kingdom_Forties_Forties-OpenSea_se04 NAPC1	sediment
United Kingdom_Forties_Forties-OpenSea_se03 NAPC1	United Kingdom_Forties_Forties-OpenSea_se03 NAPC1	sediment
United Kingdom_East Scotland (St. Andrews) NAPC1	United Kingdom_East Scotland (St. Andrews) NAPC1	sediment
United Kingdom_Firth of Forth (outer) NAPC1	United Kingdom_Firth of Forth (outer) NAPC1	sediment
United Kingdom_Forth Estuary NAPC1	United Kingdom_Forth Estuary NAPC1	sediment
United Kingdom_EShetland_EShIntermediate_se01 NAPC1	United Kingdom_EShetland_EShIntermediate_se01 NAPC1	sediment
United Kingdom_Fladen_FlaOpenSea_se04 NAPC1	United Kingdom_Fladen_FlaOpenSea_se04 NAPC1	sediment
United Kingdom_Fladen_FlaOpenSea_se01 NAPC1	United Kingdom_Fladen_FlaOpenSea_se01 NAPC1	sediment
United Kingdom_Fladen_FlaOpenSea_se02 NAPC1	United Kingdom_Fladen_FlaOpenSea_se02 NAPC1	sediment
United Kingdom_Forth_LowerForthEstuary_se02 NAPC1	United Kingdom_Forth_LowerForthEstuary_se02 NAPC1	sediment
United Kingdom_MorayF_MoFIntermediateS_se01 NAPC1	United Kingdom_MorayF_MoFIntermediateS_se01 NAPC1	sediment
United Kingdom_MorayF_WhitenessHead_se01 NAPC1	United Kingdom_MorayF_WhitenessHead_se01 NAPC1	sediment
United Kingdom_Firth of Forth (inner) NAPC1	United Kingdom_Firth of Forth (inner) NAPC1	sediment
United Kingdom_EScotland_EScIntermediate_se01 NAPC1	United Kingdom_EScotland_EScIntermediate_se01 NAPC1	sediment
United Kingdom_EScotland_EScOpenSea_se01 NAPC1	United Kingdom_EScotland_EScOpenSea_se01 NAPC1	sediment
United Kingdom_MorayF_MoFOpenSea_se01 NAPC1	United Kingdom_MorayF_MoFOpenSea_se01 NAPC1	sediment
United Kingdom_MorayF_MorayFirthOffshor_se01 NAPC1	United Kingdom_MorayF_MorayFirthOffshor_se01 NAPC1	sediment
United Kingdom_TyneTees_TTInter_se02 NAPC1	United Kingdom_TyneTees_TTInter_se02 NAPC1	sediment
United Kingdom_TyneTees_TTInter_se01 NAPC1	United Kingdom_TyneTees_TTInter_se01 NAPC1	sediment
Denmark_ROS 10006 NAPC1	Denmark_ROS 10006 NAPC1	sediment
Denmark_VSJ10003 NAPC1	Denmark_VSJ10003 NAPC1	sediment
United Kingdom_Anglia_AnOpenSea_se02 NAPC1	United Kingdom_Anglia_AnOpenSea_se02 NAPC1	sediment
United Kingdom_Anglia_AnInter_se01 NAPC1	United Kingdom_Anglia_AnInter_se01 NAPC1	sediment
United Kingdom_Anglia_AnOpenSea_se03 NAPC1	United Kingdom_Anglia_AnOpenSea_se03 NAPC1	sediment
United Kingdom_HumWash_HWInter_se03 NAPC1	United Kingdom_HumWash_HWInter_se03 NAPC1	sediment
United Kingdom_HumWash_HWOpenSeaS_se02 NAPC1	United Kingdom_HumWash_HWOpenSeaS_se02 NAPC1	sediment
United Kingdom_Anglia_AnInter_se02 NAPC1	United Kingdom_Anglia_AnInter_se02 NAPC1	sediment
Germany_WB5 NAPC1	Germany_WB5 NAPC1	sediment
Germany_ENTE2 NAPC1	Germany_ENTE2 NAPC1	sediment
Denmark_DMU 1025 NAPC1	Denmark_DMU 1025 NAPC1	sediment
Denmark_DMU 1052 NAPC1	Denmark_DMU 1052 NAPC1	sediment
Denmark_DMU 1072 NAPC1	Denmark_DMU 1072 NAPC1	sediment
Denmark_SJY JUVD5001 NAPC1	Denmark_SJY JUVD5001 NAPC1	sediment
Germany_WB1 NAPC1	Germany_WB1 NAPC1	sediment
Germany_ES1 NAPC1	Germany_ES1 NAPC1	sediment
Germany_UE67 NAPC1	Germany_UE67 NAPC1	sediment
Germany_BL4 NAPC1	Germany_BL4 NAPC1	sediment
Germany_L1 NAPC1	Germany_L1 NAPC1	sediment
United Kingdom_Anglia_Essex_se02 NAPC1	United Kingdom_Anglia_Essex_se02 NAPC1	sediment
Germany_KS11 NAPC1	Germany_KS11 NAPC1	sediment
United Kingdom_HumWash_HWInter_se01 NAPC1	United Kingdom_HumWash_HWInter_se01 NAPC1	sediment
United Kingdom_HumWash_HWOpenSeaNE_se01 NAPC1	United Kingdom_HumWash_HWOpenSeaNE_se01 NAPC1	sediment
United Kingdom_HumWash_HWOpenSeaS_se01 NAPC1	United Kingdom_HumWash_HWOpenSeaS_se01 NAPC1	sediment
United Kingdom_HumWash_Owash_se01 NAPC1	United Kingdom_HumWash_Owash_se01 NAPC1	sediment
Germany_EIDER NAPC1	Germany_EIDER NAPC1	sediment
Germany_UE15 NAPC1	Germany_UE15 NAPC1	sediment
Germany_KS8 NAPC1	Germany_KS8 NAPC1	sediment
United Kingdom_Severn_SeOpenSeaW_se05 NAPC1	United Kingdom_Severn_SeOpenSeaW_se05 NAPC1	sediment
United Kingdom_Severn_SeOpenSeaW_se02 NAPC1	United Kingdom_Severn_SeOpenSeaW_se02 NAPC1	sediment
United Kingdom_Severn_SeOpenSeaW_se04 NAPC1	United Kingdom_Severn_SeOpenSeaW_se04 NAPC1	sediment
United Kingdom_Severn_SeOpenSeaW_se03 NAPC1	United Kingdom_Severn_SeOpenSeaW_se03 NAPC1	sediment
France_Banc de Chatry NAPC1	France_Banc de Chatry NAPC1	sediment
France_Milieu de baie 1 - St Michel NAPC1	France_Milieu de baie 1 - St Michel NAPC1	sediment
United Kingdom_Severn_SeOpenSeaW_se01 NAPC1	United Kingdom_Severn_SeOpenSeaW_se01 NAPC1	sediment
United Kingdom_Hebrides_HebOpenSea_se01 NAPC1	United Kingdom_Hebrides_HebOpenSea_se01 NAPC1	sediment
United Kingdom_Minch Malin (Colonsay) NAPC1	United Kingdom_Minch Malin (Colonsay) NAPC1	sediment
United Kingdom_MinchMalin_SeaOfHebrides_se01 NAPC1	United Kingdom_MinchMalin_SeaOfHebrides_se01 NAPC1	sediment
United Kingdom_MinchMalin_TheMinchNorth_se02 NAPC1	United Kingdom_MinchMalin_TheMinchNorth_se02 NAPC1	sediment
United Kingdom_MinchMalin_TheMinchNorth_se01 NAPC1	United Kingdom_MinchMalin_TheMinchNorth_se01 NAPC1	sediment
United Kingdom_MinchMalin_TheMinchSouth_se01 NAPC1	United Kingdom_MinchMalin_TheMinchSouth_se01 NAPC1	sediment
United Kingdom_CardBay_CBInter_se03 NAPC1	United Kingdom_CardBay_CBInter_se03 NAPC1	sediment
United Kingdom_CardBay_CBInter_se02 NAPC1	United Kingdom_CardBay_CBInter_se02 NAPC1	sediment
United Kingdom_CardBay_CBInter_se04 NAPC1	United Kingdom_CardBay_CBInter_se04 NAPC1	sediment
United Kingdom_CardBay_TremadogB_se01 NAPC1	United Kingdom_CardBay_TremadogB_se01 NAPC1	sediment
United Kingdom_IrishSea_IrSIntermediateE_se07 NAPC1	United Kingdom_IrishSea_IrSIntermediateE_se07 NAPC1	sediment
United Kingdom_IrishSea_IrSIntermediateE_se06 NAPC1	United Kingdom_IrishSea_IrSIntermediateE_se06 NAPC1	sediment
United Kingdom_IrishSea_IrSIntermediateE_se05 NAPC1	United Kingdom_IrishSea_IrSIntermediateE_se05 NAPC1	sediment
United Kingdom_IrishSea_IrSIntermediateE_se04 NAPC1	United Kingdom_IrishSea_IrSIntermediateE_se04 NAPC1	sediment
United Kingdom_IrishSea_IrSOpenSea_se07 NAPC1	United Kingdom_IrishSea_IrSOpenSea_se07 NAPC1	sediment
United Kingdom_IrishSea_IrSOpenSea_se06 NAPC1	United Kingdom_IrishSea_IrSOpenSea_se06 NAPC1	sediment
United Kingdom_IrishSea_IrSOpenSea_se08 NAPC1	United Kingdom_IrishSea_IrSOpenSea_se08 NAPC1	sediment
United Kingdom_IrishSea_IrSOpenSea_se09 NAPC1	United Kingdom_IrishSea_IrSOpenSea_se09 NAPC1	sediment
United Kingdom_IrishSea_IrSOpenSea_se10 NAPC1	United Kingdom_IrishSea_IrSOpenSea_se10 NAPC1	sediment
United Kingdom_CardBay_CBInter_se01 NAPC1	United Kingdom_CardBay_CBInter_se01 NAPC1	sediment
United Kingdom_Clyde_FirthCInnerDunoon_se06 NAPC1	United Kingdom_Clyde_FirthCInnerDunoon_se06 NAPC1	sediment
United Kingdom_Firth of Clyde (inner) NAPC1	United Kingdom_Firth of Clyde (inner) NAPC1	sediment
United Kingdom_Clyde (Hunterston) NAPC1	United Kingdom_Clyde (Hunterston) NAPC1	sediment
United Kingdom_Solway Firth NAPC1	United Kingdom_Solway Firth NAPC1	sediment
United Kingdom_IrishSea_IrSIntermediateE_se01 NAPC1	United Kingdom_IrishSea_IrSIntermediateE_se01 NAPC1	sediment
United Kingdom_Clyde_FirthCMiddleOffshor_se06 NAPC1	United Kingdom_Clyde_FirthCMiddleOffshor_se06 NAPC1	sediment
United Kingdom_Firth of Clyde (outer) NAPC1	United Kingdom_Firth of Clyde (outer) NAPC1	sediment
United Kingdom_IrishSea_IrSOpenSea_se04 NAPC1	United Kingdom_IrishSea_IrSOpenSea_se04 NAPC1	sediment
United Kingdom_Firth of Clyde (middle) NAPC1	United Kingdom_Firth of Clyde (middle) NAPC1	sediment
France_Hossegor Huitrière du lac NAPC1	France_Hossegor Huitrière du lac NAPC1	sediment
United Kingdom_EastChan_ECInterE_se03 NAPC2	United Kingdom_EastChan_ECInterE_se03 NAPC2	sediment
United Kingdom_WestChan_WCInter_se02 NAPC2	United Kingdom_WestChan_WCInter_se02 NAPC2	sediment
United Kingdom_WestChan_WCOpenSea_se03 NAPC2	United Kingdom_WestChan_WCOpenSea_se03 NAPC2	sediment
United Kingdom_WestChan_WCOpenSea_se05 NAPC2	United Kingdom_WestChan_WCOpenSea_se05 NAPC2	sediment
United Kingdom_WestChan_WCOpenSea_se04 NAPC2	United Kingdom_WestChan_WCOpenSea_se04 NAPC2	sediment
United Kingdom_WestChan_WCInter_se03 NAPC2	United Kingdom_WestChan_WCInter_se03 NAPC2	sediment
United Kingdom_WestChan_WCOpenSea_se06 NAPC2	United Kingdom_WestChan_WCOpenSea_se06 NAPC2	sediment
France_Saint Jouin - Château d'eau NAPC2	France_Saint Jouin - Château d'eau NAPC2	sediment
France_Seine - Cap de la Hève NAPC2	France_Seine - Cap de la Hève NAPC2	sediment
France_Seine - Cauville NAPC2	France_Seine - Cauville NAPC2	sediment
France_Seine - Estuaire 1 NAPC2	France_Seine - Estuaire 1 NAPC2	sediment
France_Seine - Estuaire 11 NAPC2	France_Seine - Estuaire 11 NAPC2	sediment
France_Seine - Estuaire 4 NAPC2	France_Seine - Estuaire 4 NAPC2	sediment
France_Seine - Estuaire 6 NAPC2	France_Seine - Estuaire 6 NAPC2	sediment
France_Seine - Estuaire 7 NAPC2	France_Seine - Estuaire 7 NAPC2	sediment
France_Seine - Estuaire 8 NAPC2	France_Seine - Estuaire 8 NAPC2	sediment
France_Seine - Grand large Antifer NAPC2	France_Seine - Grand large Antifer NAPC2	sediment
France_Seine - Nord des Vaches Noires NAPC2	France_Seine - Nord des Vaches Noires NAPC2	sediment
France_Seine - Octeville NAPC2	France_Seine - Octeville NAPC2	sediment
France_Seine 16 NAPC2	France_Seine 16 NAPC2	sediment
France_St Aubin Seine Maritime NAPC2	France_St Aubin Seine Maritime NAPC2	sediment
France_Avant-port Est (Dunkerque) NAPC2	France_Avant-port Est (Dunkerque) NAPC2	sediment
France_Baie de Somme 95 NAPC2	France_Baie de Somme 95 NAPC2	sediment
France_Chenal RoRo (Boulogne) NAPC2	France_Chenal RoRo (Boulogne) NAPC2	sediment
France_Dunkerque 25 NAPC2	France_Dunkerque 25 NAPC2	sediment
France_Dunkerque 29 NAPC2	France_Dunkerque 29 NAPC2	sediment
France_Le Hôme-Merville ouest NAPC2	France_Le Hôme-Merville ouest NAPC2	sediment
France_Paluel 8 NAPC2	France_Paluel 8 NAPC2	sediment
France_Penly - nord NAPC2	France_Penly - nord NAPC2	sediment
France_Baie des Veys 9 NAPC2	France_Baie des Veys 9 NAPC2	sediment
France_Banc du dépôt des dragages NAPC2	France_Banc du dépôt des dragages NAPC2	sediment
France_Basse Jourdan NAPC2	France_Basse Jourdan NAPC2	sediment
France_Bouée Carosse NAPC2	France_Bouée Carosse NAPC2	sediment
France_Bricquemare NAPC2	France_Bricquemare NAPC2	sediment
France_Calvados - Lougues NAPC2	France_Calvados - Lougues NAPC2	sediment
France_Calvados - Saint Laurent NAPC2	France_Calvados - Saint Laurent NAPC2	sediment
France_Chenal Antifer A26 NAPC2	France_Chenal Antifer A26 NAPC2	sediment
France_Chenal de l'Orne NAPC2	France_Chenal de l'Orne NAPC2	sediment
France_Dives 3 NAPC2	France_Dives 3 NAPC2	sediment
France_Est Cotentin - Crasville NAPC2	France_Est Cotentin - Crasville NAPC2	sediment
France_Est Cotentin - Lestre NAPC2	France_Est Cotentin - Lestre NAPC2	sediment
France_Est Cotentin - Quinéville NAPC2	France_Est Cotentin - Quinéville NAPC2	sediment
France_Est Cotentin - Ravenoville NAPC2	France_Est Cotentin - Ravenoville NAPC2	sediment
France_Est Cotentin - St Marcouf NAPC2	France_Est Cotentin - St Marcouf NAPC2	sediment
France_Extrémité chenal du Havre NAPC2	France_Extrémité chenal du Havre NAPC2	sediment
France_Fort Central NAPC2	France_Fort Central NAPC2	sediment
France_Fort de l'Ouest NAPC2	France_Fort de l'Ouest NAPC2	sediment
France_Grand Placard sud NAPC2	France_Grand Placard sud NAPC2	sediment
France_Grandcamp sud NAPC2	France_Grandcamp sud NAPC2	sediment
France_Grande Rade Sud LH4 NAPC2	France_Grande Rade Sud LH4 NAPC2	sediment
France_Havre de la Vanlée NAPC2	France_Havre de la Vanlée NAPC2	sediment
France_Havre de Régneville NAPC2	France_Havre de Régneville NAPC2	sediment
France_Havre de Saint Germain NAPC2	France_Havre de Saint Germain NAPC2	sediment
France_Intersect. Cabourg - Antifer NAPC2	France_Intersect. Cabourg - Antifer NAPC2	sediment
France_Large Dives 1 NAPC2	France_Large Dives 1 NAPC2	sediment
